Date,Close/Last,Volume,Open,High,Low
01/03/2022,$62.0865,4621178,$61.4284,$62.8606,$61.1252
12/31/2021,$60.9446,3795703,$60.964,$61.2672,$60.5769
12/30/2021,$61.093,3269019,$61.0672,$61.9187,$60.9843
12/29/2021,$61.151,3490524,$61.2865,$61.5962,$60.9252
12/28/2021,$61.4801,4054839,$60.9188,$61.9832,$60.7962
12/27/2021,$61.0414,3429798,$60.4027,$61.0736,$60.2866
12/23/2021,$60.6414,3885495,$60.1898,$60.9898,$60.1898
12/22/2021,$60.0414,4663916,$59.9447,$60.4543,$59.4544
12/21/2021,$60.035,7617689,$58.5254,$60.4285,$58.5254
12/20/2021,$58.048,6013175,$58.0609,$58.1254,$56.8803
12/17/2021,$58.9963,9069622,$59.6415,$60.0414,$58.1319
12/16/2021,$59.6931,7127357,$59.6866,$60.8607,$59.4802
12/15/2021,$59.4028,7694479,$59.4931,$59.6157,$58.177
12/14/2021,$59.4221,7260757,$59.835,$60.6769,$59.1705
12/13/2021,$60.0801,7378550,$61.9123,$62.1897,$59.8801
12/10/2021,$62.5445,4276337,$63.2799,$63.5831,$62.2219
12/09/2021,$63.1122,4066718,$63.0735,$63.3445,$62.5768
12/08/2021,$63.4025,4756834,$62.9316,$63.8283,$62.5639
12/07/2021,$62.9316,5049030,$62.3187,$63.4348,$62.1252
12/06/2021,$61.9381,6679937,$60.5446,$62.5058,$60.1511
12/03/2021,$59.8479,8082765,$61.3704,$61.5123,$59.177
12/02/2021,$61.4349,6094635,$60.7704,$61.7897,$59.8737
12/01/2021,$59.9963,8664983,$62.2865,$62.5058,$59.9576
11/30/2021,$61.2801,11409440,$62.3445,$62.8542,$60.9446
11/29/2021,$63.4799,9776599,$64.0412,$64.7895,$62.4671
11/26/2021,$63.1187,8607582,$62.3574,$63.2864,$61.6155
11/24/2021,$65.9507,5572077,$65.712,$66.0056,$65.3572
11/23/2021,$65.854,6012850,$65.6604,$65.9378,$65.254
11/22/2021,$65.183,6209754,$64.8153,$65.783,$64.6895
11/19/2021,$64.4863,6605069,$64.3831,$64.9895,$64.0605
11/18/2021,$64.9444,8534271,$65.4346,$65.6733,$63.9831
11/17/2021,$65.7959,8307608,$66.8991,$67.0152,$65.4282
11/16/2021,$66.6733,11997730,$68.4796,$68.5183,$66.3314
11/15/2021,$68.8151,6124929,$69.6924,$70.1053,$68.5119
11/12/2021,$69.4086,7625770,$69.286,$69.6279,$68.6796
11/11/2021,$69.028,5512827,$70.0279,$70.7053,$68.886
11/10/2021,$70.2924,8692604,$72.5761,$72.6923,$69.7441
11/09/2021,$71.7955,25123670,$74.0148,$74.9405,$71.273
